iter	Passed	Remaining
0	1	180
1	3	185
2	5	179
3	6	163
4	8	164
5	10	163
6	12	162
7	13	160
8	15	160
9	17	159
10	19	158
11	21	154
12	22	152
13	24	149
14	25	144
15	26	140
16	27	136
17	29	132
18	30	128
19	31	125
20	32	122
21	33	119
22	34	115
23	35	112
24	36	109
25	37	107
26	38	104
27	39	101
28	40	98
29	41	96
30	42	93
31	42	91
32	43	88
33	44	86
34	44	83
35	45	81
36	46	78
37	47	77
38	48	75
39	48	73
40	49	71
41	49	68
42	50	66
43	51	64
44	51	63
45	52	61
46	53	59
47	53	58
48	54	56
49	55	55
50	56	53
51	56	52
52	57	51
53	58	49
54	59	48
55	59	47
56	60	45
57	61	44
58	62	43
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	66	35
65	67	34
66	68	33
67	69	32
68	69	31
69	70	30
70	71	29
71	71	27
72	72	26
73	73	25
74	73	24
75	74	23
76	75	22
77	76	21
78	76	20
79	77	19
80	78	18
81	79	17
82	79	16
83	80	15
84	81	14
85	81	13
86	82	12
87	83	11
88	83	10
89	84	9
90	85	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	89	2
97	90	1
98	91	0
99	92	0
